Entity,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),10-14 years old (%),15-19 years old (%),20-24 years old (%),25-29 years old (%),30-34 years old (%),50-69 years old (%),15-49 years old (%),70+ years old (%),All ages (%),Age-standardized (%),Prevalence in males (%),Prevalence in females (%),Prevalence - Depressive disorders
Australasia,1990,0.357271772,1.139508715,0.688709261,6.814155808,2.128077257,4.543521248,1.404956002,2.230089618,5.314223629,6.847834993,6.336071366,5.939922775,5.124990699,5.969637797,4.220860779,4.773228147,4.543521248,3.692372005,5.371230323,889079.25490000006
Australasia,1991,0.357777694,1.142420257,0.69137136,6.81468859,2.178210539,4.587575537,1.440457979,2.243383307,5.369821221,6.923111485,6.395543248,5.98824243,5.155900631,6.025153778,4.235511987,4.818889165,4.587575537,3.713779802,5.436042079,907841.3534
Australasia,1992,0.358273229,1.14516579,0.69396105,6.816470992,2.224163876,4.625286644,1.472932048,2.260100621,5.417135355,6.977691939,6.446447319,6.032791728,5.178008254,6.07136576,4.2448765999999996,4.857499284,4.625286644,3.731259895,5.492020829,925243.7518
Australasia,1993,0.358720008,1.147570139,0.698178691,6.818326762,2.261818009,4.658597606,1.501012618,2.28022722,5.454407527,7.02982409,6.486531073,6.071162998,5.198080567,6.109818364,4.254557734,4.890445233,4.658597606,3.745717735,5.542378922,941581.2395
Australasia,1994,0.359051302,1.149377744,0.702618947,6.818650975,2.290779185,4.68352035,1.52315715,2.29212962,5.48805687,7.065364255,6.51580307,6.101185188,5.211166707,6.140551449,4.254628757,4.913558488,4.68352035,3.755515666,5.580703538,956175.9765
Australasia,1995,0.359224113,1.150420536,0.707350163,6.816058859,2.309022016,4.700493946,1.538013795,2.307513153,5.509998318,7.078961348,6.540337334,6.129932005,5.218218154,6.162671639,4.250396782,4.928794027,4.700493946,3.763556057,5.605196951,969545.1408
Australasia,1996,0.359349303,1.15099645,0.714311634,6.812275992,2.319620327,4.705470615,1.544796717,2.318343483,5.50923624,7.051357044,6.546572103,6.148878624,5.215055873,6.170458587,4.236096012,4.932086599,4.705470615,3.75953997,5.617953422,980786.9574
Australasia,1997,0.35956715,1.151590091,0.72497691,6.810060173,2.329013849,4.702965524,1.545274668,2.335102058,5.498590853,6.993651286,6.539299343,6.170285237,5.202783938,6.173884472,4.197948419,4.927623174,4.702965524,3.74376537,5.627263238,990339.3904
Australasia,1998,0.359835661,1.152157274,0.738296196,6.809245252,2.338022664,4.692476174,1.542303741,2.34077902,5.47385605,6.920836479,6.512126726,6.181597475,5.183339024,6.167011512,4.16228082,4.916799564,4.692476174,3.717514997,5.630978584,998721.4321
Australasia,1999,0.360102763,1.152669489,0.751760772,6.809899733,2.343374868,4.686344598,1.538513527,2.354401712,5.451148518,6.857873497,6.489916376,6.195253506,5.170887678,6.163975831,4.126521822,4.910703938,4.686344598,3.697486798,5.637334798,1008423.9
Australasia,2000,0.360332597,1.153120737,0.764556895,6.812291137,2.343892716,4.690506739,1.536482027,2.368869102,5.465793082,6.826215259,6.485678104,6.21819151,5.165297751,6.172450371,4.11449281,4.915609715,4.690506739,3.691391418,5.650559109,1020929.583
Australasia,2001,0.360689768,1.153826314,0.778787677,6.840197655,2.322332495,4.707400223,1.527198002,2.394571274,5.501672236,6.843243659,6.502462108,6.241364887,5.165488061,6.197786404,4.112842871,4.933099297,4.707400223,3.698246953,5.676964148,1036770.464
Australasia,2002,0.361261545,1.15494856,0.796081267,6.902274215,2.271420383,4.733243809,1.505530529,2.42648428,5.560934817,6.881989015,6.525337695,6.268334205,5.170731571,6.233861192,4.120016876,4.95958154,4.733243809,3.710315879,5.716153804,1055306.794
Australasia,2003,0.361900675,1.156228353,0.815390023,6.975890754,2.206237448,4.764805009,1.479997872,2.467858448,5.640291281,6.942711216,6.562570802,6.297249526,5.175249824,6.278043587,4.134275809,4.992140481,4.764805009,3.727045581,5.762251451,1075969.53
Australasia,2004,0.362430152,1.15733478,0.832907671,7.037717585,2.143416712,4.787985412,1.458973874,2.498513019,5.697115957,6.989437648,6.582283388,6.311505031,5.17622764,6.31140926,4.142745914,5.017685489,4.787985412,3.740064012,5.795519149,1095959.655
Australasia,2005,0.362692243,1.157933132,0.844885958,7.064532273,2.101477655,4.794999201,1.450883594,2.511803747,5.716208107,6.99859063,6.587317441,6.317129968,5.173728816,6.319694332,4.150203974,5.028579528,4.794999201,3.741842877,5.807762346,1113582.436
Australasia,2006,0.362635326,1.158176253,0.855296275,7.053433599,2.074566907,4.788031217,1.459230995,2.516922268,5.717069182,6.984576036,6.563217986,6.297167906,5.162946859,6.308694077,4.151074465,5.024767274,4.788031217,3.735213345,5.800656242,1128515.366
Australasia,2007,0.362396142,1.158400517,0.864460284,7.023575413,2.044542339,4.769263223,1.478090267,2.5176964,5.69394973,6.946331275,6.516019397,6.251278208,5.143896356,6.278657656,4.149398368,5.007104357,4.769263223,3.720407796,5.778186609,1140440.051
Australasia,2008,0.362078566,1.158562792,0.872634045,6.986595299,2.018357656,4.742922691,1.501922837,2.52216972,5.667910382,6.893041472,6.453950761,6.193741252,5.114213379,6.239043135,4.144240715,4.980106789,4.742922691,3.701285759,5.745006289,1150344.893
Australasia,2009,0.361799753,1.15865254,0.879940707,6.954134833,2.002730762,4.718048925,1.525189373,2.519204777,5.638405915,6.845920616,6.410928603,6.13917508,5.089551883,6.201988651,4.144136934,4.954478604,4.718048925,3.684195836,5.712558316,1160700.432
Australasia,2010,0.361660789,1.158570853,0.884639935,6.937078409,2.001507487,4.696324637,1.542304026,2.516775477,5.617994925,6.809144588,6.37183572,6.091043795,5.067147239,6.170708463,4.141846016,4.932306344,4.696324637,3.671023298,5.682510989,1172021.727
Australasia,2011,0.361582381,1.158263539,0.888601045,6.930864123,2.013359909,4.679037305,1.554372723,2.516538676,5.599201644,6.78478463,6.339622823,6.068652376,5.045539738,6.150023193,4.135390075,4.913789444,4.679037305,3.659760362,5.659433041,1184478.183
Australasia,2012,0.361429249,1.157693396,0.892744383,6.923867857,2.0340932,4.659611283,1.565849272,2.516568071,5.587137739,6.761406299,6.317017187,6.035642896,5.018935624,6.126981413,4.125466567,4.891417089,4.659611283,3.649291616,5.631443587,1196391.923
Australasia,2013,0.361208724,1.15687475,0.896443388,6.916193312,2.065105991,4.634488817,1.576681661,2.519007812,5.577196087,6.734264553,6.283505578,5.998548739,4.987587103,6.095147203,4.112240523,4.862610256,4.634488817,3.635681396,5.595583201,1207026.443
